2026-01-31 03:57:04,952 | INFO | Debug logging enabled
2026-01-31 03:57:04,953 | INFO | Config saved and reloaded
2026-01-31 03:57:31,357 | INFO | Debug logging enabled
2026-01-31 03:57:31,357 | INFO | Auto conversion after sync
2026-01-31 03:57:31,357 | INFO | Conversion started (manual=False)
2026-01-31 03:57:31,361 | INFO | Debug logging enabled
2026-01-31 03:57:31,361 | INFO | Starting conversion for source types: [1769367768468]
2026-01-31 03:57:31,366 | DEBUG | Found 1 source notes for model '🇯🇵 | Yomitan Import'
2026-01-31 03:57:31,370 | DEBUG | Transformed tags: in=['⭐', 'spec', 'v5k', 'vi', 'vt', 'priority', 'form', '★'] out=['JPN::Tags::form', 'JPN::Tags::v5k', 'JPN::Tags::vi', 'JPN::Tags::vt', 'priority', 'spec']
2026-01-31 03:57:31,370 | DEBUG | Collected tags for note 1769827468802: ['Freq::3980', 'JLPT::N5', 'JPN::Tags::form', 'JPN::Tags::v5k', 'JPN::Tags::vi', 'JPN::Tags::vt', '_intern::yomitan::開あく::1769827468802', '_intern::yomitan_export', 'priority', 'spec']
2026-01-31 03:57:31,373 | DEBUG | Linked new note 1769828251371 into source note 1769827468802 field LinkedNotes
2026-01-31 03:57:31,375 | INFO | Conversion done. created=1 skipped=0
2026-01-31 03:57:31,375 | INFO | Conversion finished
2026-01-31 04:03:19,850 | INFO | Debug logging enabled
2026-01-31 04:03:19,852 | INFO | Debug logging enabled
2026-01-31 04:03:19,854 | INFO | Debug logging enabled
2026-01-31 04:03:19,856 | INFO | Debug logging enabled
2026-01-31 04:03:19,859 | INFO | Debug logging enabled
2026-01-31 04:03:19,859 | DEBUG | Registered menu actions via AJpC hook
2026-01-31 04:03:20,331 | DEBUG | pykakasi already available
2026-01-31 04:03:35,754 | INFO | Opening settings dialog
2026-01-31 04:03:35,756 | INFO | Debug logging enabled
2026-01-31 04:04:04,817 | DEBUG | Wrote config.json to add-on folder
2026-01-31 04:04:04,817 | INFO | Debug logging enabled
2026-01-31 04:04:04,817 | INFO | Config saved and reloaded
2026-01-31 04:39:12,936 | INFO | Debug logging enabled
2026-01-31 04:39:12,946 | INFO | Debug logging enabled
2026-01-31 04:39:12,949 | INFO | Debug logging enabled
2026-01-31 04:39:12,952 | INFO | Debug logging enabled
2026-01-31 04:39:12,954 | INFO | Debug logging enabled
2026-01-31 04:39:12,954 | DEBUG | Registered menu actions via AJpC hook
2026-01-31 04:39:13,257 | DEBUG | pykakasi already available
2026-01-31 04:39:48,798 | INFO | Opening settings dialog
2026-01-31 04:39:48,801 | INFO | Debug logging enabled
2026-01-31 04:40:32,550 | INFO | Opening settings dialog
2026-01-31 04:40:32,553 | INFO | Debug logging enabled
2026-01-31 04:40:38,036 | DEBUG | Wrote config.json to add-on folder
2026-01-31 04:40:38,036 | INFO | Debug logging enabled
2026-01-31 04:40:38,037 | INFO | Config saved and reloaded
2026-01-31 04:41:38,932 | INFO | Normalized tag mapping values
2026-01-31 04:41:38,935 | INFO | Debug logging enabled
2026-01-31 04:41:38,935 | INFO | Auto conversion after sync
2026-01-31 04:41:38,936 | INFO | Conversion started (manual=False)
2026-01-31 04:41:38,945 | INFO | Debug logging enabled
2026-01-31 04:41:38,945 | INFO | Starting conversion for source types: [1769367768468]
2026-01-31 04:41:38,951 | DEBUG | Found 2 source notes for model '🇯🇵 | Yomitan Import'
2026-01-31 04:41:39,134 | DEBUG | Transformed tags: in=['⭐', 'ichi', 'news1k', 'adv', 'n', '★'] out=['JPN::Tags::unmapped::k', 'JPN::Tags::unmapped::★', 'JPN::Tags::unmapped::⭐', 'JPN::Wortart::Adverb', 'JPN::Wortart::Nomen']
2026-01-31 04:41:39,134 | DEBUG | Collected tags for note 1769826561736: ['Freq::2496', 'JLPT::N5', 'JPN::Tags::unmapped::k', 'JPN::Tags::unmapped::★', 'JPN::Tags::unmapped::⭐', 'JPN::Wortart::Adverb', 'JPN::Wortart::Nomen', '_intern::yomitan::秋あき::1769826561736', '_intern::yomitan_export']
2026-01-31 04:41:39,136 | DEBUG | Linked new note 1769830899134 into source note 1769826561736 field LinkedNotes
2026-01-31 04:41:39,142 | DEBUG | Transformed tags: in=['⭐', 'spec', 'v5k', 'vi', 'vt', 'priority', 'form', '★'] out=['JMDict::v5k', 'JPN::Stil::formal/literarisch', 'JPN::Tags::unmapped::priority', 'JPN::Tags::unmapped::spec', 'JPN::Tags::unmapped::★', 'JPN::Tags::unmapped::⭐', 'JPN::Wortart::intransitives Verb', 'JPN::Wortart::transitives Verb']
2026-01-31 04:41:39,142 | DEBUG | Collected tags for note 1769827468802: ['Freq::3980', 'JLPT::N5', 'JMDict::v5k', 'JPN::Stil::formal/literarisch', 'JPN::Tags::unmapped::priority', 'JPN::Tags::unmapped::spec', 'JPN::Tags::unmapped::★', 'JPN::Tags::unmapped::⭐', 'JPN::Wortart::intransitives Verb', 'JPN::Wortart::transitives Verb', '_intern::yomitan::開あく::1769827468802', '_intern::yomitan_export']
2026-01-31 04:41:39,145 | DEBUG | Linked new note 1769830899143 into source note 1769827468802 field LinkedNotes
2026-01-31 04:41:39,147 | INFO | Conversion done. created=2 skipped=0
2026-01-31 04:41:39,147 | INFO | Conversion finished
2026-01-31 04:49:20,677 | INFO | Debug logging enabled
2026-01-31 04:49:20,689 | INFO | Debug logging enabled
2026-01-31 04:49:20,692 | INFO | Debug logging enabled
2026-01-31 04:49:20,694 | INFO | Debug logging enabled
2026-01-31 04:49:20,697 | INFO | Debug logging enabled
2026-01-31 04:49:20,697 | DEBUG | Registered menu actions via AJpC hook
2026-01-31 04:49:20,971 | DEBUG | pykakasi already available
2026-01-31 04:49:34,244 | INFO | Opening settings dialog
2026-01-31 04:49:34,247 | INFO | Debug logging enabled
2026-01-31 05:00:02,420 | INFO | Debug logging enabled
2026-01-31 05:00:02,421 | INFO | Debug logging enabled
2026-01-31 05:00:02,422 | INFO | Debug logging enabled
2026-01-31 05:00:02,424 | INFO | Debug logging enabled
2026-01-31 05:00:02,425 | INFO | Debug logging enabled
2026-01-31 05:00:02,425 | DEBUG | Registered menu actions via AJpC hook
